Time,Plate,Well,Raw_od,hour,Well_id,Plt_well,Well_row,Well_column,Condition,Ratio,XMIC,MIC ug/ml
30:59:57,3,A1,0.27,30.99917,SPL1,3 - SPL1,A,1,SFP,20,128,29.19296
31:59:58,3,A1,0.271,31.99944,SPL1,3 - SPL1,A,1,SFP,20,128,29.19296
32:59:58,3,A1,0.274,32.99944,SPL1,3 - SPL1,A,1,SFP,20,128,29.19296
34:00:00,3,A1,0.274,34,SPL1,3 - SPL1,A,1,SFP,20,128,29.19296
35:00:01,3,A1,0.274,35.00028,SPL1,3 - SPL1,A,1,SFP,20,128,29.19296
36:00:02,3,A1,0.276,36.00056,SPL1,3 - SPL1,A,1,SFP,20,128,29.19296
37:00:02,3,A1,0.278,37.00056,SPL1,3 - SPL1,A,1,SFP,20,128,29.19296
38:00:03,3,A1,0.28,38.00083,SPL1,3 - SPL1,A,1,SFP,20,128,29.19296
39:00:04,3,A1,0.282,39.00111,SPL1,3 - SPL1,A,1,SFP,20,128,29.19296
40:00:05,3,A1,0.287,40.00139,SPL1,3 - SPL1,A,1,SFP,20,128,29.19296
41:00:06,3,A1,0.291,41.00167,SPL1,3 - SPL1,A,1,SFP,20,128,29.19296
42:00:07,3,A1,0.3,42.00194,SPL1,3 - SPL1,A,1,SFP,20,128,29.19296
43:00:08,3,A1,0.309,43.00222,SPL1,3 - SPL1,A,1,SFP,20,128,29.19296
44:00:09,3,A1,0.317,44.0025,SPL1,3 - SPL1,A,1,SFP,20,128,29.19296
45:00:10,3,A1,0.324,45.00278,SPL1,3 - SPL1,A,1,SFP,20,128,29.19296
46:00:11,3,A1,0.323,46.00306,SPL1,3 - SPL1,A,1,SFP,20,128,29.19296
47:00:11,3,A1,0.323,47.00306,SPL1,3 - SPL1,A,1,SFP,20,128,29.19296
48:00:12,3,A1,0.318,48.00333,SPL1,3 - SPL1,A,1,SFP,20,128,29.19296
0:00:34,4,A1,0.179,0.00944,SPL1,4 - SPL1,A,1,SFP,20,128,29.19296
0:59:29,4,A1,0.176,0.99139,SPL1,4 - SPL1,A,1,SFP,20,128,29.19296
1:59:31,4,A1,0.176,1.99194,SPL1,4 - SPL1,A,1,SFP,20,128,29.19296
2:59:31,4,A1,0.178,2.99194,SPL1,4 - SPL1,A,1,SFP,20,128,29.19296
3:59:33,4,A1,0.181,3.9925,SPL1,4 - SPL1,A,1,SFP,20,128,29.19296
4:59:33,4,A1,0.184,4.9925,SPL1,4 - SPL1,A,1,SFP,20,128,29.19296
5:59:35,4,A1,0.191,5.99306,SPL1,4 - SPL1,A,1,SFP,20,128,29.19296
6:59:35,4,A1,0.2,6.99306,SPL1,4 - SPL1,A,1,SFP,20,128,29.19296
7:59:36,4,A1,0.211,7.99333,SPL1,4 - SPL1,A,1,SFP,20,128,29.19296
8:59:37,4,A1,0.225,8.99361,SPL1,4 - SPL1,A,1,SFP,20,128,29.19296
9:59:38,4,A1,0.235,9.99389,SPL1,4 - SPL1,A,1,SFP,20,128,29.19296
10:59:38,4,A1,0.239,10.99389,SPL1,4 - SPL1,A,1,SFP,20,128,29.19296
11:59:40,4,A1,0.238,11.99444,SPL1,4 - SPL1,A,1,SFP,20,128,29.19296
12:59:41,4,A1,0.24,12.99472,SPL1,4 - SPL1,A,1,SFP,20,128,29.19296
13:59:42,4,A1,0.241,13.995,SPL1,4 - SPL1,A,1,SFP,20,128,29.19296
14:59:43,4,A1,0.242,14.99528,SPL1,4 - SPL1,A,1,SFP,20,128,29.19296
15:59:44,4,A1,0.243,15.99556,SPL1,4 - SPL1,A,1,SFP,20,128,29.19296
16:59:44,4,A1,0.246,16.99556,SPL1,4 - SPL1,A,1,SFP,20,128,29.19296
17:59:44,4,A1,0.248,17.99556,SPL1,4 - SPL1,A,1,SFP,20,128,29.19296
18:59:45,4,A1,0.25,18.99583,SPL1,4 - SPL1,A,1,SFP,20,128,29.19296
19:59:47,4,A1,0.251,19.99639,SPL1,4 - SPL1,A,1,SFP,20,128,29.19296
20:59:48,4,A1,0.252,20.99667,SPL1,4 - SPL1,A,1,SFP,20,128,29.19296
21:59:49,4,A1,0.253,21.99694,SPL1,4 - SPL1,A,1,SFP,20,128,29.19296
22:59:50,4,A1,0.254,22.99722,SPL1,4 - SPL1,A,1,SFP,20,128,29.19296
23:59:51,4,A1,0.256,23.9975,SPL1,4 - SPL1,A,1,SFP,20,128,29.19296
24:59:52,4,A1,0.258,24.99778,SPL1,4 - SPL1,A,1,SFP,20,128,29.19296
25:59:53,4,A1,0.259,25.99806,SPL1,4 - SPL1,A,1,SFP,20,128,29.19296
26:59:54,4,A1,0.26,26.99833,SPL1,4 - SPL1,A,1,SFP,20,128,29.19296
27:59:54,4,A1,0.266,27.99833,SPL1,4 - SPL1,A,1,SFP,20,128,29.19296
28:59:55,4,A1,0.274,28.99861,SPL1,4 - SPL1,A,1,SFP,20,128,29.19296
29:59:56,4,A1,0.277,29.99889,SPL1,4 - SPL1,A,1,SFP,20,128,29.19296
30:59:58,4,A1,0.283,30.99944,SPL1,4 - SPL1,A,1,SFP,20,128,29.19296
31:59:58,4,A1,0.288,31.99944,SPL1,4 - SPL1,A,1,SFP,20,128,29.19296
32:59:59,4,A1,0.282,32.99972,SPL1,4 - SPL1,A,1,SFP,20,128,29.19296
34:00:00,4,A1,0.271,34,SPL1,4 - SPL1,A,1,SFP,20,128,29.19296
35:00:01,4,A1,0.259,35.00028,SPL1,4 - SPL1,A,1,SFP,20,128,29.19296
36:00:02,4,A1,0.25,36.00056,SPL1,4 - SPL1,A,1,SFP,20,128,29.19296
37:00:03,4,A1,0.244,37.00083,SPL1,4 - SPL1,A,1,SFP,20,128,29.19296
38:00:03,4,A1,0.25,38.00083,SPL1,4 - SPL1,A,1,SFP,20,128,29.19296
39:00:04,4,A1,0.248,39.00111,SPL1,4 - SPL1,A,1,SFP,20,128,29.19296
40:00:05,4,A1,0.248,40.00139,SPL1,4 - SPL1,A,1,SFP,20,128,29.19296
41:00:06,4,A1,0.248,41.00167,SPL1,4 - SPL1,A,1,SFP,20,128,29.19296
42:00:07,4,A1,0.248,42.00194,SPL1,4 - SPL1,A,1,SFP,20,128,29.19296
43:00:08,4,A1,0.249,43.00222,SPL1,4 - SPL1,A,1,SFP,20,128,29.19296
44:00:09,4,A1,0.249,44.0025,SPL1,4 - SPL1,A,1,SFP,20,128,29.19296
45:00:10,4,A1,0.249,45.00278,SPL1,4 - SPL1,A,1,SFP,20,128,29.19296
46:00:12,4,A1,0.25,46.00333,SPL1,4 - SPL1,A,1,SFP,20,128,29.19296
47:00:11,4,A1,0.25,47.00306,SPL1,4 - SPL1,A,1,SFP,20,128,29.19296
48:00:12,4,A1,0.251,48.00333,SPL1,4 - SPL1,A,1,SFP,20,128,29.19296
0:00:34,1,A2,0.218,0.00944,SPL17,1 - SPL17,A,2,SF,20,128,29.19296
0:59:29,1,A2,0.21,0.99139,SPL17,1 - SPL17,A,2,SF,20,128,29.19296
1:59:31,1,A2,0.21,1.99194,SPL17,1 - SPL17,A,2,SF,20,128,29.19296
2:59:31,1,A2,0.209,2.99194,SPL17,1 - SPL17,A,2,SF,20,128,29.19296
3:59:33,1,A2,0.211,3.9925,SPL17,1 - SPL17,A,2,SF,20,128,29.19296
4:59:33,1,A2,0.214,4.9925,SPL17,1 - SPL17,A,2,SF,20,128,29.19296
5:59:34,1,A2,0.218,5.99278,SPL17,1 - SPL17,A,2,SF,20,128,29.19296
6:59:35,1,A2,0.224,6.99306,SPL17,1 - SPL17,A,2,SF,20,128,29.19296
7:59:36,1,A2,0.232,7.99333,SPL17,1 - SPL17,A,2,SF,20,128,29.19296
8:59:37,1,A2,0.242,8.99361,SPL17,1 - SPL17,A,2,SF,20,128,29.19296
9:59:38,1,A2,0.254,9.99389,SPL17,1 - SPL17,A,2,SF,20,128,29.19296
10:59:39,1,A2,0.265,10.99417,SPL17,1 - SPL17,A,2,SF,20,128,29.19296
11:59:40,1,A2,0.275,11.99444,SPL17,1 - SPL17,A,2,SF,20,128,29.19296
12:59:41,1,A2,0.277,12.99472,SPL17,1 - SPL17,A,2,SF,20,128,29.19296
13:59:42,1,A2,0.276,13.995,SPL17,1 - SPL17,A,2,SF,20,128,29.19296
14:59:43,1,A2,0.274,14.99528,SPL17,1 - SPL17,A,2,SF,20,128,29.19296
15:59:44,1,A2,0.274,15.99556,SPL17,1 - SPL17,A,2,SF,20,128,29.19296
16:59:45,1,A2,0.272,16.99583,SPL17,1 - SPL17,A,2,SF,20,128,29.19296
17:59:44,1,A2,0.27,17.99556,SPL17,1 - SPL17,A,2,SF,20,128,29.19296
18:59:45,1,A2,0.27,18.99583,SPL17,1 - SPL17,A,2,SF,20,128,29.19296
19:59:47,1,A2,0.268,19.99639,SPL17,1 - SPL17,A,2,SF,20,128,29.19296
20:59:47,1,A2,0.267,20.99639,SPL17,1 - SPL17,A,2,SF,20,128,29.19296
21:59:49,1,A2,0.265,21.99694,SPL17,1 - SPL17,A,2,SF,20,128,29.19296
22:59:50,1,A2,0.264,22.99722,SPL17,1 - SPL17,A,2,SF,20,128,29.19296
23:59:51,1,A2,0.263,23.9975,SPL17,1 - SPL17,A,2,SF,20,128,29.19296
24:59:51,1,A2,0.262,24.9975,SPL17,1 - SPL17,A,2,SF,20,128,29.19296
25:59:52,1,A2,0.261,25.99778,SPL17,1 - SPL17,A,2,SF,20,128,29.19296
26:59:54,1,A2,0.262,26.99833,SPL17,1 - SPL17,A,2,SF,20,128,29.19296
27:59:54,1,A2,0.262,27.99833,SPL17,1 - SPL17,A,2,SF,20,128,29.19296
28:59:55,1,A2,0.262,28.99861,SPL17,1 - SPL17,A,2,SF,20,128,29.19296
29:59:56,1,A2,0.262,29.99889,SPL17,1 - SPL17,A,2,SF,20,128,29.19296
30:59:57,1,A2,0.262,30.99917,SPL17,1 - SPL17,A,2,SF,20,128,29.19296
31:59:58,1,A2,0.261,31.99944,SPL17,1 - SPL17,A,2,SF,20,128,29.19296
32:59:58,1,A2,0.261,32.99944,SPL17,1 - SPL17,A,2,SF,20,128,29.19296
34:00:00,1,A2,0.261,34,SPL17,1 - SPL17,A,2,SF,20,128,29.19296
35:00:01,1,A2,0.261,35.00028,SPL17,1 - SPL17,A,2,SF,20,128,29.19296
36:00:01,1,A2,0.261,36.00028,SPL17,1 - SPL17,A,2,SF,20,128,29.19296
37:00:02,1,A2,0.262,37.00056,SPL17,1 - SPL17,A,2,SF,20,128,29.19296
38:00:03,1,A2,0.261,38.00083,SPL17,1 - SPL17,A,2,SF,20,128,29.19296
39:00:04,1,A2,0.262,39.00111,SPL17,1 - SPL17,A,2,SF,20,128,29.19296
40:00:05,1,A2,0.262,40.00139,SPL17,1 - SPL17,A,2,SF,20,128,29.19296
41:00:06,1,A2,0.262,41.00167,SPL17,1 - SPL17,A,2,SF,20,128,29.19296
42:00:06,1,A2,0.263,42.00167,SPL17,1 - SPL17,A,2,SF,20,128,29.19296
43:00:08,1,A2,0.263,43.00222,SPL17,1 - SPL17,A,2,SF,20,128,29.19296
44:00:09,1,A2,0.263,44.0025,SPL17,1 - SPL17,A,2,SF,20,128,29.19296
45:00:09,1,A2,0.263,45.0025,SPL17,1 - SPL17,A,2,SF,20,128,29.19296
46:00:11,1,A2,0.264,46.00306,SPL17,1 - SPL17,A,2,SF,20,128,29.19296
47:00:11,1,A2,0.264,47.00306,SPL17,1 - SPL17,A,2,SF,20,128,29.19296
48:00:12,1,A2,0.265,48.00333,SPL17,1 - SPL17,A,2,SF,20,128,29.19296
0:00:34,2,A2,0.191,0.00944,SPL17,2 - SPL17,A,2,SF,20,128,29.19296
0:59:29,2,A2,0.222,0.99139,SPL17,2 - SPL17,A,2,SF,20,128,29.19296
1:59:31,2,A2,0.207,1.99194,SPL17,2 - SPL17,A,2,SF,20,128,29.19296
2:59:31,2,A2,0.209,2.99194,SPL17,2 - SPL17,A,2,SF,20,128,29.19296
3:59:33,2,A2,0.212,3.9925,SPL17,2 - SPL17,A,2,SF,20,128,29.19296
4:59:33,2,A2,0.219,4.9925,SPL17,2 - SPL17,A,2,SF,20,128,29.19296
5:59:34,2,A2,0.234,5.99278,SPL17,2 - SPL17,A,2,SF,20,128,29.19296
6:59:35,2,A2,0.252,6.99306,SPL17,2 - SPL17,A,2,SF,20,128,29.19296
7:59:36,2,A2,0.263,7.99333,SPL17,2 - SPL17,A,2,SF,20,128,29.19296
8:59:37,2,A2,0.272,8.99361,SPL17,2 - SPL17,A,2,SF,20,128,29.19296
9:59:38,2,A2,0.275,9.99389,SPL17,2 - SPL17,A,2,SF,20,128,29.19296
10:59:39,2,A2,0.268,10.99417,SPL17,2 - SPL17,A,2,SF,20,128,29.19296
11:59:40,2,A2,0.269,11.99444,SPL17,2 - SPL17,A,2,SF,20,128,29.19296
12:59:41,2,A2,0.263,12.99472,SPL17,2 - SPL17,A,2,SF,20,128,29.19296
13:59:42,2,A2,0.264,13.995,SPL17,2 - SPL17,A,2,SF,20,128,29.19296
14:59:43,2,A2,0.256,14.99528,SPL17,2 - SPL17,A,2,SF,20,128,29.19296
15:59:44,2,A2,0.254,15.99556,SPL17,2 - SPL17,A,2,SF,20,128,29.19296
16:59:44,2,A2,0.248,16.99556,SPL17,2 - SPL17,A,2,SF,20,128,29.19296
17:59:44,2,A2,0.248,17.99556,SPL17,2 - SPL17,A,2,SF,20,128,29.19296
