Time,Construct,Dose,Replicate,RawSignal
33.5,pSEVA634-GFP,0.1,1,0.372
33.5,pSEVA634-GFP,0.2,1,0.469
33.5,pSEVA634-GFP,0.5,1,0.37
33.5,pSEVA634-GFP,1,1,0.373
34,pSEVA634-GFP,0,1,0.342
34,pSEVA634-GFP,0.01,1,0.354
34,pSEVA634-GFP,0.05,1,0.362
34,pSEVA634-GFP,0.1,1,0.372
34,pSEVA634-GFP,0.2,1,0.468
34,pSEVA634-GFP,0.5,1,0.37
34,pSEVA634-GFP,1,1,0.372
34.5,pSEVA634-GFP,0,1,0.341
34.5,pSEVA634-GFP,0.01,1,0.352
34.5,pSEVA634-GFP,0.05,1,0.362
34.5,pSEVA634-GFP,0.1,1,0.372
34.5,pSEVA634-GFP,0.2,1,0.469
34.5,pSEVA634-GFP,0.5,1,0.37
34.5,pSEVA634-GFP,1,1,0.372
35,pSEVA634-GFP,0,1,0.339
35,pSEVA634-GFP,0.01,1,0.351
35,pSEVA634-GFP,0.05,1,0.361
35,pSEVA634-GFP,0.1,1,0.372
35,pSEVA634-GFP,0.2,1,0.468
35,pSEVA634-GFP,0.5,1,0.369
35,pSEVA634-GFP,1,1,0.372
35.5,pSEVA634-GFP,0,1,0.337
35.5,pSEVA634-GFP,0.01,1,0.351
35.5,pSEVA634-GFP,0.05,1,0.36
35.5,pSEVA634-GFP,0.1,1,0.372
35.5,pSEVA634-GFP,0.2,1,0.468
35.5,pSEVA634-GFP,0.5,1,0.369
35.5,pSEVA634-GFP,1,1,0.372
36,pSEVA634-GFP,0,1,0.336
36,pSEVA634-GFP,0.01,1,0.35
36,pSEVA634-GFP,0.05,1,0.36
36,pSEVA634-GFP,0.1,1,0.372
36,pSEVA634-GFP,0.2,1,0.468
36,pSEVA634-GFP,0.5,1,0.37
36,pSEVA634-GFP,1,1,0.372
36.5,pSEVA634-GFP,0,1,0.334
36.5,pSEVA634-GFP,0.01,1,0.35
36.5,pSEVA634-GFP,0.05,1,0.361
36.5,pSEVA634-GFP,0.1,1,0.373
36.5,pSEVA634-GFP,0.2,1,0.468
36.5,pSEVA634-GFP,0.5,1,0.369
36.5,pSEVA634-GFP,1,1,0.371
37,pSEVA634-GFP,0,1,0.333
37,pSEVA634-GFP,0.01,1,0.349
37,pSEVA634-GFP,0.05,1,0.361
37,pSEVA634-GFP,0.1,1,0.373
37,pSEVA634-GFP,0.2,1,0.468
37,pSEVA634-GFP,0.5,1,0.369
37,pSEVA634-GFP,1,1,0.372
37.5,pSEVA634-GFP,0,1,0.331
37.5,pSEVA634-GFP,0.01,1,0.349
37.5,pSEVA634-GFP,0.05,1,0.36
37.5,pSEVA634-GFP,0.1,1,0.374
37.5,pSEVA634-GFP,0.2,1,0.467
37.5,pSEVA634-GFP,0.5,1,0.369
37.5,pSEVA634-GFP,1,1,0.372
38,pSEVA634-GFP,0,1,0.33
38,pSEVA634-GFP,0.01,1,0.349
38,pSEVA634-GFP,0.05,1,0.359
38,pSEVA634-GFP,0.1,1,0.373
38,pSEVA634-GFP,0.2,1,0.467
38,pSEVA634-GFP,0.5,1,0.368
38,pSEVA634-GFP,1,1,0.372
38.5,pSEVA634-GFP,0,1,0.329
38.5,pSEVA634-GFP,0.01,1,0.351
38.5,pSEVA634-GFP,0.05,1,0.359
38.5,pSEVA634-GFP,0.1,1,0.374
38.5,pSEVA634-GFP,0.2,1,0.466
38.5,pSEVA634-GFP,0.5,1,0.369
38.5,pSEVA634-GFP,1,1,0.371
39,pSEVA634-GFP,0,1,0.328
39,pSEVA634-GFP,0.01,1,0.35
39,pSEVA634-GFP,0.05,1,0.359
39,pSEVA634-GFP,0.1,1,0.374
39,pSEVA634-GFP,0.2,1,0.465
39,pSEVA634-GFP,0.5,1,0.369
39,pSEVA634-GFP,1,1,0.371
39.5,pSEVA634-GFP,0,1,0.327
39.5,pSEVA634-GFP,0.01,1,0.35
39.5,pSEVA634-GFP,0.05,1,0.359
39.5,pSEVA634-GFP,0.1,1,0.375
39.5,pSEVA634-GFP,0.2,1,0.466
39.5,pSEVA634-GFP,0.5,1,0.369
39.5,pSEVA634-GFP,1,1,0.371
40,pSEVA634-GFP,0,1,0.326
40,pSEVA634-GFP,0.01,1,0.35
40,pSEVA634-GFP,0.05,1,0.359
40,pSEVA634-GFP,0.1,1,0.375
40,pSEVA634-GFP,0.2,1,0.465
40,pSEVA634-GFP,0.5,1,0.369
40,pSEVA634-GFP,1,1,0.37
40.5,pSEVA634-GFP,0,1,0.325
40.5,pSEVA634-GFP,0.01,1,0.35
40.5,pSEVA634-GFP,0.05,1,0.359
40.5,pSEVA634-GFP,0.1,1,0.375
40.5,pSEVA634-GFP,0.2,1,0.464
40.5,pSEVA634-GFP,0.5,1,0.369
40.5,pSEVA634-GFP,1,1,0.372
41,pSEVA634-GFP,0,1,0.324
41,pSEVA634-GFP,0.01,1,0.35
41,pSEVA634-GFP,0.05,1,0.359
41,pSEVA634-GFP,0.1,1,0.375
41,pSEVA634-GFP,0.2,1,0.464
41,pSEVA634-GFP,0.5,1,0.37
41,pSEVA634-GFP,1,1,0.371
41.5,pSEVA634-GFP,0,1,0.323
41.5,pSEVA634-GFP,0.01,1,0.349
41.5,pSEVA634-GFP,0.05,1,0.359
41.5,pSEVA634-GFP,0.1,1,0.376
41.5,pSEVA634-GFP,0.2,1,0.463
41.5,pSEVA634-GFP,0.5,1,0.37
41.5,pSEVA634-GFP,1,1,0.371
42,pSEVA634-GFP,0,1,0.322
42,pSEVA634-GFP,0.01,1,0.348
42,pSEVA634-GFP,0.05,1,0.359
42,pSEVA634-GFP,0.1,1,0.375
42,pSEVA634-GFP,0.2,1,0.463
